source,ref-type,author,year,language,label,title,abstract,inclusion/exclusion,Reason/s for exclusion,Comments,Repetit,electronic-resource-num,Full text,Reason for exclusion,Per llista ongoing ClinicalTrials
random-journal.pdf,ProP104,"Koskela, Kristiina",2017,eng,pro.p,Hypofractionated stereotactic body radiotherapy for localized prostate cancer - first Nordic clinical experience.,"BACKGROUND: The use of hypofractionated stereotactic body radiotherapy (SBRT) as primary treatment modality in clinically localized prostate cancer (PCa) is emerging, because the low α/β-ratio favors the use of high dose per fraction in PCa. There is a need for more data about SBRT, especially in high-risk PCa patients. The purpose of this retrospective study was to evaluate the safety and the short-term efficacy of robotic SBRT in a clinical patient cohort with localized PCa including also high-risk patients (D'Amico risk stratification). MATERIALS AND METHODS: A total of 240 consecutive patients with clinically localized PCa were treated primarily with SBRT to total doses of 35 Gy or 36.25 Gy in 5 fractions using a robotic SBRT device (CyberKnife(®)). All risk groups (D'Amico risk stratification) were represented as follows: 48 (22%), 59 (27%) and 111 (51%) of the patients representing low-, intermediate- and high-risk group, respectively. Data on acute and intermediate-term toxicities and early PSA responses were analyzed. RESULTS: Neither acute grade 3 or higher GU nor rectal toxicity was observed. Regardless of the fact that 29 (13.3%) patients experienced intermediate-term toxicity requiring diagnostic interventions, the rates of intermediate-term grade 3 GU, rectal and infectious toxicity were low, 1.8%, 0.9% and 1.4%, respectively. A biochemical relapse was observed in ten (4.6%) patients. With the median follow-up time of 23 months the biochemical relapse-free survival (bRFS) rate was 100%, 96.6% and 92.8% in low-, intermediate- and high-risk group, respectively. CONCLUSIONS: The toxicity of robotic SBRT in a large clinical cohort of PCa patients was tolerable and the early PSA response was good in all risk groups. The hypofractionated SBRT offers a possibility to high dose per fraction and to provide the whole radiotherapy treatment within two to three weeks.",exclusion,Other study design + no comparator,,,10.1080/0284186X.2017.1288923,,,
random-journal.pdf,ProP105,"A., Magli",2017,English,pro.p,IG-SBRT for localized prostate cancer: Clinical results and late toxicity of a phase-II study,"Purpose or Objective To evaluate the clinical outcome and late toxicity of a phase II study dealing with SBRT with a total dose of 42 Gy in 7 fractions, in patients with localized prostate cancer at low/intermediate risk (according to NCCN score) and at risk of pelvic lymph node involvement inferior to 17% as evaluated by the Roach formula. Material and Methods This study was based on a prospective analysis of 42 patients enrolled between May 2013 and November 2014. For planning, the GTV included the prostate with the 1/3 proximal seminal vesicles without margin; a margin of 5 mm in all directions around the GTV was applied to define the PTV. All patients were treated with IG-SBRT, utilizing VMAT technique with a 2 full arcs arrangement and photons with beam energy of 6 MV, according to pre-established treatment dose specifications and DHV constraints: in particular, for PTV, plans were optimised aiming to obtain V95%>95% D98%>94%, V2%<108%; concerning the rectum, the requirements were: mean<18Gy, V20<35%, V32 <10%, V37<5%,D1%<40Gy while for the bladder, the goal was to keep mean dose <14 Gy and V21 <40%, V33 < 30%, V38 <13%,D1%<40Gy. Routine institutional image-based patient position verification protocols foresaw daily on-line matching by CBCT. The acute and late toxicities were recorded using the RTOG/EORTC scale. Additional data were collected by means of I-PSS e IIEF-5 questionnaires. Biochemical failure was determined using the Phoenix definition. Results The median follow-up duration was 27 months (range: 24 to 36 months). The median age was 74 years (range: 57-80 years). Most dosimetric parameters for the OARs are well within the protocol constraints, with the n otable exception of maximal doses to rectum and bladder (exceeding in about 20% of cases), but we did not find any statistical correlation with late toxicities. Acute GU toxicity of grade 2 (increase in urinary frequency) was observed in 7% patients. The incidence rates of late GI and GU toxicity of any grade were 14.2% and 35.7%, respectively. The late GU toxicity of grade >= 2 was 4.7%. No GE late toxicity >= 2 was noted. Previous abdominal surgery appeared to be statistically significant (p= 0.004; Fisher's test) for the increase of probability of late GE toxicity. The 3-year local recurrence-free survival rate was 98%, only one patient had clinical abdominal lymph node failure. Among the dosimetric data, only V21 (mean value: 22.1%; range: 8.5-55.2%) revealed to be statistically significant for the late GU (p= 0.035; Wilcoxon Mann Whitney Test). Conclusion Our experience with VMAT-based SBRT in low-and intermediate-risk prostate cancer demonstrates favorable efficacy in tumor control and toxicity profile with no decrease in QOL as determined by I-PSS, IIEF. The general good quality of the clinical outcome and the results concerning GI and GU toxicities seem to confirm the robustness of the dosimetric paradigm adopted. Longer follow-up is needed to investigate complete safety and efficacy of the stereotactic treatments.",exclusion,Other study design (phase I/II),,,,,,
random-journal.pdf,ProP106,"A., Magli",2015,English,pro.p,Image-guided hypofractionated radiotherapy for localized prostate cancer with 42Gy in 7 fractions: Radiobiology and preliminary clinical results of a phase-II study,"Introduction: The evolution of radiation technology, which integrates 3-dimensional anatomy, conformal dose coverage and image guidance combined with a a better understanding of prostate cancer radiobiology and fraction sensitivity of the tumor relative to nearby normal tissue, has led to hypofractionated radiation therapy schedules. Clinical data now exist from several studies, including randomized trials using various moderately hypofractionated regimens, with dose-per-fraction ranging from 2.5 Gy per fraction for 70 Gy and 3.1 Gy per fraction for 62 Gy (1, 2) up to, more recently, extreme hypofractionation schemes of 7.25 Gy per fraction for 36.25 Gy or 10 Gy for 5 fraction (3) using stereotactic body radiation therapy (SBRT) approaches. Hypofractionation for prostate cancer, and in particular SBRT, results in a means of radiobiological dose escalation and potentially represents a therapeutic gain. It also affords a more economical course of definitive radiation therapy, improves patient access to care and enhances patient convenience. Aim(s): We have performed a phase II study concerning hypofractionated radiotherapy (HRT) with a dose of 42 Gy in 7 fractions, in patients with localized prostate cancer at low/intermediate risk (according to National Comprehensive Cancer Network (NCCN) score) and risk of lymph node involvement <17% ( Roach Index) in order to evaluate the feasibility and acute toxicity. Material(s) and Method(s): Since 2012, 40 patients at low/intermediate risk for localized prostate cancer have been planned for HRT (Table I). Fraction size is 6 Gy for 7 fractions scheduled to be delivered twice a week for a total dose of 42 Gy. Treatment has been delivered with a VMAT technique, with 2 arcs using 6MV photons from a Varian 2300 iX linac. Planning was performed with Eclipse 10.0 TPS with the AAA algorithm by 3 different planners. Dose prescription is the average dose to PTV with the request V95%>=95%. The dose-volume histogram (DVH) constraints for organs at risk (OARs) have been derived from literature and local experience. Constraints for acute urinary toxicity have been recently introduced after the paper of Carillo et al. (4). To reduce the organ motion, patients have been premedicated before treatment with butylscopolamine. The protocol is based on 3 image-guided radiation therapy (IGRT) intraprostatic fiducial markers, with daily online checks by cone beam computed tomography (CBCT). The acute and late toxicity is recorded using the Radiation Therapy Oncology Group and the European Organization for Research and Treatment of Cancer (RTOG/EORTC) scale. Additional data are collected by means of International Prostate Symptom Score (II-PSS) and International Index of Erectile Function (IIEF-5) questionnaires. Result(s): Thirty-two patients have been followed for three months or more. Urinary toxicities were most common. At 3 month, 12% of patients reported grades 1 urinary toxicities (RTOG/EORTC scale). At 6 months no patients reported grade 1 urinary toxicities. At 18 months, one patient reported grade 1 proctitis and grade 1 rectal bleeding, which resolved without intervention. Thirteen patients have been followed for 12 months or more. Biochemical response was rapid the first 12 months of follow-up: mean pre-treatment and 12-month post-treatment values were 3.75 ng/ml and 0.7 ng/ml, respectively. The results of organ motion intrafraction (OMI) movement are shown in Figure 1. By implementing principals of manipulation and premedication of the patient we have a control of OMI <=2 mm in 98% of treatment sessions. Conclusion(s): Intrafraction motion of the prostate is minimal when patients follow the special diet and are premedicated before treatment with butylscopolamine. The proposed scheme is estimated more effective to high-dose conventional regimens. The absence of acute toxicity seems to confirm the validity of the adopted normal tissue complication probability (NTCP) model and could be predictive of late toxicity. At this early follow-up point, prostate HRT results in favorable toxicity and biochemical outcomes and appears to support the strategy of hypofractionation in the management of localized prostate cancer. Further follow-up is necessary to validate these early, promising results. (Figure Presented).",exclusion,Other study design (phase I/II),,,,,,
random-journal.pdf,ProP107,"Pasqualetti, Francesco",2018,eng,pro.m,Image-guided Stereotactic Body Radiotherapy in Metastatic Prostate Cancer.,"BACKGROUND/AIM: In the last years, the use of Image Guided Stereotactic Radiotherapy (IG-SBRT) in patients with metastatic prostate cancer has increased. In this study, we aimed to assess the role of IG-SBRT in terms of local control and safety in patients with metastatic prostate cancer. MATERIALS AND METHODS: Primary and secondary endpoints of this prospective observational study were local control and safety related to IG-SBRT. All lesions were treated with 24 Gy as a single fraction or 27 Gy in 3 fractions. After SBRT, Systemic therapies were administered only after the occurrence of more than three synchronous active lesions in oligometastatic patients (patients with less than 4 active synchronous lesions) or new lesions occurrence in patients with more than 3 synchronous lesions. RESULTS: From April 2011 to June 2017, 78 metastatic lesions (32 bone and 46 node) from 51 patients with prostate cancer were treated. After a median follow-up of 18.5 months (range=3-103 months), only 2 lesions (4%) relapsed inside the radiation field. All local recurrences were located on the bone. Estimated 12 and 24 months local control ratios were 98.7 and 97.4%, respectively. Except for one case, toxicity greater than G2 was not recorded. CONCLUSION: IG-SBRT is safe and can be considered as a valid therapy in patients with metastatic prostate cancer requiring a long-lasting metastases control.",exclusion,Other study design,,PM82,10.21873/anticanres.12572,,,
random-journal.pdf,ProP108,,2016,English,#5;pro.m:#5;pro.p:#5,Imaging and the role of ablation of oligometastic prostate cancer,"The standard treatment options and guidelines for PCa patients diagnosed with metastatic recurrence following primary treatment have remained largely unchanged over the past decade,1 with androgen deprivation therapy (ADT) being the cornerstone of treatment.2 Although optimal timing and schedule of ADT is still under debate in this setting,2 the detrimental effect of ADT on general health and quality of life has resulted in a search for alternatives.3, 4 Like in other solid tumors,5-9 there is increasing evidence that patients diagnosed with a limited number of PCa metastases - so-called ""oligometastases"" - have a better prognosis as compared to patients with extensive metastatic disease.10, 11 This oligometastatic state is considered an intermediate state of tumor spread with limited metastatic capacity.12 The clinical implication of this hypothesis is that localized forms of cancer treatment, that is metastasis-directed therapy (MDT) such as surgery or stereotactic body radiotherapy,8-12 may be effective in these patients.12 Moreover, these lesiondirected approaches may have the potential to spare or delay the toxicity associated with the use of systemic therapies. For oligometastases from various primary tumors such as colorectal cancer, sarcomas and renal cell carcinoma, MDT is commonly offered,5-9, 13-15 even though no randomized trials are available comparing MDT with alternative options.13-15 The interest in MDT in PCa has certainly increased with the introduction of more accurate imaging modalities,16, 17 which led to higher detection of oligometastatic PCa recurrence at lower prostate-specific antigen levels.11, 16 However, many questions remain to be solved before MDT is ready for implementation in clinical routine.18.",exclusion,review,Llegir per a informació general,PM83,http://dx.doi.org/10.1111/ajco.12557,,,
random-journal.pdf,ProP109,"S., Koschel",2019,English,pro.m:#5;pro.p:#5,Impact of 18F-DCFPyL PET scanning in patients undergoing post prostatectomy radiotherapy (IMPPORT) - Preliminary results of a prospective multi-site trial,"Introduction and Objectives: Salvage radiotherapy (RT) improves biochemical control of recurrent prostate cancer following radical prostatectomy (RP). Freedom from biochemical failure remains suboptimal, due to poor detection of nodal and distant metastasis. Prostate-specific membrane antigen (PSMA)-PET has revolutionised re-staging in this group, by detecting low-volume metastasis at low PSA levels. PSMA-PET can influence salvage RT by altering target volumes, facilitating stereotactic RT, and omitting RT in widespread disease. Our primary objective is to examine the management impact of 18F-DCFPyL PET in men referred for salvage RT post RP. Secondary endpoints include comparing management impact of CT to PSMA-PET and assessing biochemical control. Method(s): IMPPORT is a prospective multi- centre trial which commenced recruitment in July 2018, with a target of 100 participants. Eligibility criteria includes biochemical recurrence (PSA > 0.2 but < 2.0), prior RP with negative pre-operative staging, and no previous pelvic RT or ADT. Initial management intent is completed followed by diagnostic CTCAP and 18FDCFPyL PET. Images are interpreted by dedicated radiologists and nuclear medicine physicians, blinded to images from the alternative modality. Result release is staggered to radiation oncologists, to allow management intent to be captured post CT alone, then post CT with PSMA-PET results. Result(s): 18 patients are enrolled, and the initial 13 have completed imaging and intent plans. There was change in management seen in 23% (n = 3) post CT, compared to 46% (n = 6) post CT and 18FDCFPyL PET together. In 6 patients with changed management intent post CT and PSMA-PET, addition of pelvic RT with nodal boost and ADT was seen in 3. Of the remaining 3, one had pelvic nodal boost included, one changed to ADT only due to widespread metastasis seen, and one had an inguinal node biopsy and targeted RT. Conclusion(s): IMPPORT has seen promising early results with almost 50% of initial patients demonstrating change in management intent post 18F-DCFPyL PET.",exclusion,Not dealing with the intervention of interest,,PM85,http://dx.doi.org/10.1111/bju.14723,,,
random-journal.pdf,ProP110,"S.U., Tetar",2019,English,pro.p,Impact of MR-guided stereotactic radiotherapy on quality of life of prostate cancer patients,"Introduction & Objectives: Stereotactic MR-guided radiation therapy (MRgRT) is a novel treatment approach for patients with localized prostate cancer. In addition to the advantages of improved soft-tissue contrast and on-table daily plan re-optimization, marker-less continuous MR-imaging during delivery allows treatment with only minimal (3 mm) safety margins thereby optimally sparing the adjacent rectum and bladder. A prospective phase II study [NCT03961321] investigated the toxicity of this approach during the first year of follow-up. Patient-reported data are the most reliable outcome measures for toxicity and the impact on quality of life, and these are reported here. MS.U., T., A.M.E., B., S.S., O., B.J., S., & R.J.A., V. M. (2019). Impact of MR-guided stereotactic radiotherapy on quality of life of prostate cancer patients. European Urology, Supplements, 18(11), e3451–e3452. https://doi.org/http://dx.doi.org/10.1016/S1569-9056%2819%2934615-9aterial(s) and Method(s): 101 patients with low- (4.0%), intermediate- (36.6%) and high-risk (59.4%) prostate cancer were enrolled until April 2018. The majority of patients (82.1%) received adjuvant hormonal treatment. MRgRT was delivered in 5 fractions of 7.25 Gy in two weeks. Quality of life data (EORTC QLQ-C30, QLQ-PR25, IPSS-S and L-score) were collected at baseline, end of MRgRT, at 6 weeks, and at 3, 6, 9 and 12 months follow-up. Result(s): The completeness of QoL data was >95% for all items at any time point. None of the functional QoL scales showed a clinically meaningful difference (i.e. 10 points or more) comparing baseline and 12 months. The global health scale (QLQ-C30) was not significantly different at baseline and 12 months (83.3% and 80.6%, respectively, 95% CI of the difference -.07 - 5.6). The QoL due to urinary symptoms, derived from the IPSS-L score, showed an initial significant worsening from baseline values in the first six weeks, followed by a normalization at longer follow-up (boxplot in Figure 1). A 'significant' impact on daily activities (scored as 'quite a bit' or 'very much') because of urinary problems was not reported by a single patient at baseline, nor at 12 months. Corresponding rates of impact on daily activities because of bowel problems were 0% at baseline and 2% at 12 months. [Figure Presented] Conclusion(s): Stereotactic MRgRT for localized prostate cancer had little impact on QoL, as measured by patient-reported outcome data, within the first year of follow-up. Long term outcome remains to be awaited.Copyright © 2019 European Association of Urology",exclusion,Other study design + no comparator,,,http://dx.doi.org/10.1016/S1569-9056%2819%2934615-9,,,
random-journal.pdf,ProP111,"Shaverdian, Narek",2018,eng,pro.p:#2,Impact of the Primary Information Source Used for Decision Making on Treatment Perceptions and Regret in Prostate Cancer.,"OBJECTIVE: To assess the impact of the primary source of information used by prostate cancer patients to select a radiation treatment on their overall treatment experience and on treatment regret. METHODS: Patients with low to favorable intermediate-risk prostate cancer treated with stereotactic body radiation therapy, intensity-modulated radiation therapy, or high-dose rate brachytherapy were surveyed. The questionnaire explored the decision-making experience, treatment experience, and treatment regret. RESULTS: In total, 322 consecutive patients were surveyed with an 86% (n=276) response rate. In total, 48% (n=132) selected their radiation oncologist as the primary information source, 23% (n=62) selected their urologist, 16% (n=44) selected the Internet, 6% (n=17) selected other patients, and 8% (n=21) selected other. In total, 39% of patients who selected the Internet as their primary information source reported their actual treatment experience to be worse than expected versus 13% of respondents who selected their urologist, 12% who selected other patients, and 2% who selected their radiation oncologist (P<0.01). Similarly, 43% who selected the Internet as their primary information source endorsed treatment regret versus 10% who selected their urologist, and 7% who selected their radiation oncologist (P<0.01). On multivariate regression, only patients who selected the Internet as their primary information source were more likely to endorse treatment regret (odds ratio, 46.47; P<0.001) and a worse treatment perception (odds ratio, 83.33; P<0.001). CONCLUSIONS: Patients who used the Internet as their primary information source were significantly more likely to endorse treatment regret and a worse than expected overall treatment experience. These data highlight the potential dangers of Internet-based resources and the importance for physicians to proactively counsel patients.",exclusion,Other study design,,,10.1097/COC.0000000000000387,,,
random-journal.pdf,ProP112,"J., Mitchell",2020,English,pro.p:#5,Implementing research in to clinical practice; A report of the implementation of the printout trial at the Edinburgh cancer centre,"Keywords: Stereotactic Body Radiotherapy Prostate; Printout; Breath Analysis. Introduction: The Printout (Using breath analysis to PRedIct Normal TissUe and Tumour response during prostate SBRT) [1] Trial is a prostate stereotactic body radiotherapy (SBRT) pilot study currently being undertaken at the Edinburgh Cancer Centre. The primary objective is to establish the possibility of measuring biomarkers in breath samples to monitor an individual's response to radiotherapy. It is hoped to gain enough data from the pilot to progress to a larger scale study. Responsibility for the running of the trial including patient screening, recruitment, treatment delivery, data collection and management has been delegated to radiographers. Method and Materials: Printout patients attend for a multi parametric MRI scan, transperineal implantation of the raypilot prostate tracking device [2] and a planning CT scan as an outpatient during one day. A SBRT treatment plan is constructed using the rigidly fused MRI and CT scan. A dose of 36.25Gy is delivered in 5 fractions by a Varian Trubeam linear accelerator over 7 days, with breath samples acquired before and after each session. Kilovoltage imaging, CBCT and raypilot are used to monitor and verify treatment position. Patient reported outcome measures (PROMS) questionnaires are completed prior to treatment delivery, immediately on completion of treatment and at regular follow up appointments. Result(s): 5 patients have participated in the trial. Early data suggests hypofractionated SBRT can be delivered safely to the prostate gland using the Raypilot Device as a motion management system. PROMS have reported toxicities which are well tolerated, with the regime itself a very welcome alternative to conventional fractionation. Data regarding heterogeneity factors has yet to be reported. Conclusion/ Discussion: The Printout Trial is the first time radiographers in the department have been involved in both the technical and administration part of trial set up and design. Recruitment, although slow initially, has improved and it is hoped that one patient per month will now be enrolled. The trial has demonstrated the vital role radiographers play in radiotherapy research and also problems which can arise from the regulations surrounding research governance. Numerical References 1 Scottish Cancer Research Network south East edinburgh cancer centre wetsern general hospital. Using Breath Analysis to PRedIct Normal TissUe and Tumour response during prostate cancer SBRT[cited july 2019] available from 2 Raypilot Micropos Medical Limited. www.micropos.se/products/Copyright © 2019",exclusion,Other study design,,,http://dx.doi.org/10.1016/j.radi.2019.11.006,,,
random-journal.pdf,ProP113,"Jabehdar Maralani, Pejman",2019,eng,pro.m:#5;pro.p:#5,Incidence and Time of Onset of Osseous Pseudoprogression in Patients With Metastatic Spine Disease From Renal Cell or Prostate Carcinoma After Treatment With Stereotactic Body Radiation Therapy.,"BACKGROUND: Tumor osseous pseudoprogression (PP), defined as an imaging-based transient increase in tumor size following treatment, was recently described in patients with spinal metastases following stereotactic body radiation therapy. Distinguishing PP from true tumor progression is critical. OBJECTIVE: To describe the incidence, time of onset, and time range of PP following stereotactic body radiation therapy in patients treated for spinal metastases from either prostate cancer (PC) or renal cell carcinoma (RCC), and associated predictive factors. METHODS: A retrospective study was conducted on our institution's cancer database from 2009 to 2015. Selection was based on single level, no prior radiation or surgery, ≥2 follow-up spine magnetic resonance imaging (MRI), and metastases arising from either PC or RCC. Gross tumor volume was contoured on pre- and up to 5 posttreatment MRIs. Patients were sorted into groups depending on gross tumor volume response: PP, non-PP, or progressive disease. Clinical and dosimetric variables were compared using either Fisher's exact test or Kruskal-Wallis analyses. RESULTS: Forty-three spinal segments from 31 patients were analyzed. RCC and PC patients showed similar incidence of PP (∼37%). Whether the primary was lytic or sclerotic was a significant predictive factor with more PP in the lytic group (P = .0208). There was a trend of earlier PP onset in RCC (within 6-18 mo) as compared to PC; however, PC segments showed more time-confined presentation of PP (9-12 mo). CONCLUSION: There was a higher incidence of PP in lytic compared to sclerotic primary tumor type. PP in spinal metastatic sites may have variable presentations depending on the primary cancer.",exclusion,Other tumor treated (spinal),,PM88,10.1093/neuros/nyy075,,,
random-journal.pdf,ProP114,"Brand, Douglas H",2019,eng,pro.p,"Intensity-modulated fractionated radiotherapy versus stereotactic body radiotherapy for prostate cancer (PACE-B): acute toxicity findings from an international, randomised, open-label, phase 3, non-inferiority trial","Background: Localised prostate cancer is commonly treated with external-beam radiotherapy. Moderate hypofractionation has been shown to be non-inferior to conventional fractionation. Ultra-hypofractionated stereotactic body radiotherapy would allow shorter treatment courses but could increase acute toxicity compared with conventionally fractionated or moderately hypofractionated radiotherapy. We report the acute toxicity findings from a randomised trial of standard-of-care conventionally fractionated or moderately hypofractionated radiotherapy versus five-fraction stereotactic body radiotherapy for low-risk to intermediate-risk localised prostate cancer. Method(s): PACE is an international, phase 3, open-label, randomised, non-inferiority trial. In PACE-B, eligible men aged 18 years and older, with WHO performance status 0-2, low-risk or intermediate-risk prostate adenocarcinoma (Gleason 4 + 3 excluded), and scheduled to receive radiotherapy were recruited from 37 centres in three countries (UK, Ireland, and Canada). Participants were randomly allocated (1:1) by computerised central randomisation with permuted blocks (size four and six), stratified by centre and risk group, to conventionally fractionated or moderately hypofractionated radiotherapy (78 Gy in 39 fractions over 7.8 weeks or 62 Gy in 20 fractions over 4 weeks, respectively) or stereotactic body radiotherapy (36.25 Gy in five fractions over 1-2 weeks). Neither participants nor investigators were masked to allocation. Androgen deprivation was not permitted. The primary endpoint of PACE-B is freedom from biochemical or clinical failure. The coprimary outcomes for this acute toxicity substudy were worst grade 2 or more severe Radiation Therapy Oncology Group (RTOG) gastrointestinal or genitourinary toxic effects score up to 12 weeks after radiotherapy. Analysis was per protocol. This study is registered with ClinicalTrials.gov, NCT01584258. PACE-B recruitment is complete and follow-up is ongoing. Finding(s): Between Aug 7, 2012, and Jan 4, 2018, we randomly assigned 874 men to conventionally fractionated or moderately hypofractionated radiotherapy (n=441) or stereotactic body radiotherapy (n=433). 432 (98%) of 441 patients allocated to conventionally fractionated or moderately hypofractionated radiotherapy and 415 (96%) of 433 patients allocated to stereotactic body radiotherapy received at least one fraction of allocated treatment. Worst acute RTOG gastrointestinal toxic effect proportions were as follows: grade 2 or more severe toxic events in 53 (12%) of 432 patients in the conventionally fractionated or moderately hypofractionated radiotherapy group versus 43 (10%) of 415 patients in the stereotactic body radiotherapy group (difference -1.9 percentage points, 95% CI -6.2 to 2.4; p=0.38). Worst acute RTOG genitourinary toxicity proportions were as follows: grade 2 or worse toxicity in 118 (27%) of 432 patients in the conventionally fractionated or moderately hypofractionated radiotherapy group versus 96 (23%) of 415 patients in the stereotactic body radiotherapy group (difference -4.2 percentage points, 95% CI -10.0 to 1.7; p=0.16). No treatment-related deaths occurred. Interpretation(s): Previous evidence (from the HYPO-RT-PC trial) suggested higher patient-reported toxicity with ultrahypofractionation. By contrast, our results suggest that substantially shortening treatment courses with stereotactic body radiotherapy does not increase either gastrointestinal or genitourinary acute toxicity. Funding(s): Accuray and National Institute of Health Research.Copyright © 2019 The Author(s). Published by Elsevier Ltd. This is an Open Access article under the CC BY 4.0 license",inclusion,,,,http://dx.doi.org/10.1016/S1470-2045%2819%2930569-8,inclusion,,
random-journal.pdf,ProP115,"Zuckerman, Scott L",2017,eng,1 population;pro.m:#5;pro.p:#5,Interbody distraction and vertebral body reconstruction with polymethylmethacrylate for the treatment of pathological fractures.,"OBJECTIVE Treatment of epidural spinal cord compression (ESCC) caused by tumor includes surgical decompression and stabilization followed by postoperative radiation. In the case of severe axial loading impairment, anterior column reconstruction is indicated. The authors describe the use of interbody distraction to restore vertebral body height and correct kyphotic angulation prior to reconstruction with polymethylmethacrylate (PMMA), and report the long-term durability of such reconstruction. METHODS A single institution, prospective series of patients with ESCC undergoing single-stage decompression, anterior column reconstruction, and posterior instrumentation from 2013 to 2016 was retrospectively analyzed. Several demographic, perioperative, and radiographic measurements were collected. Descriptive statistics were compiled, in addition to postoperative changes in anterior height, posterior height, and kyphosis. Paired Student t-tests were performed for each variable. Overall survival was calculated using the techniques described by Kaplan and Meier. RESULTS Twenty-one patients underwent single-stage posterior decompression with interbody distraction and anterior column reconstruction using PMMA. The median age and Karnofsky Performance Scale score were 61 years and 70, respectively. Primary tumors included renal cell (n = 8), lung (n = 4), multiple myeloma (n = 2), prostate (n = 2), and other (n = 5). Eighteen patients underwent a single-level vertebral body reconstruction and 3 underwent multilevel transpedicular corpectomies. The median survival duration was 13.3 months. In the immediate postoperative setting, statistically significant improvement was noted in anterior body height (p = 0.0017, 95% confidence interval [CI] -4.15 to -1.11) and posterior body height (p = 0.0116, 95% CI -3.14 to -0.45) in all patients, and improved kyphosis was observed in those with oblique endplates (p = 0.0002, 95% CI 11.16-20.27). In the median follow-up duration of 13.9 months, the authors observed 3 cases of asymptomatic PMMA subsidence. One patient required reoperation in the form of extension of fusion. CONCLUSIONS In situ interbody distraction allows safe and durable reconstruction with PMMA, restores vertebral height, and corrects kyphotic deformities associated with severe pathological fractures caused by tumor. This is accomplished with minimal manipulation of the thecal sac and avoiding an extensive 360° surgical approach in patients who cannot tolerate extensive surgery.",exclusion,Other tumor treated (spinal),,PM91,10.3171/2017.4.SPINE161182,,,
random-journal.pdf,ProP116,"Tran, P",2018,English,pro.m,Interim results of a randomized trial of observation versus SABR for oligometastatic prostate cancer,"Purpose or Objective Local ablative treatment to oligometastatic patients can result in long term disease-free survival in colorectal and sarcoma patients. The importance of consolidating all macroscopic tumor deposits in prostate cancer in the modern era is an unanswered question. Stereotactic ablative radiation (SABR) is highly focused, high-dose radiation that is ideally suited for treatment of oligometastatic patients. There are also exciting animal and patient studies suggesting that SABR can activate the immune system against cancer cells. Here we report on interim safety, clinical and translational outcomes of our Phase II randomized trial of SABR to men with recurrent low volume (1-3 metastases) hormone sensitive metastatic prostate cancer. Material and Methods Patients are randomized 2:1 to SABR:observation with minimization to balance assignment by primary intervention, prior hormonal therapy, and PSA doubling time. Progression after 6 months will be compared using Fisher's exact test. Hazard ratios and Kaplan-Meier estimates of progression free survival (PFS), ADT free survival (ADT-FS), time to locoregional progression (TTLP) and time to distant progression (TTDP) will be calculated based on an intention-to-treat. Local control will be assessed using RECIST 1.1 criteria. Adverse events will be summarized by type and grade. Quality of life pre- and post- SABR will be measured by Brief Pain Inventory. Further fundamental analysis of the oligometastatic state with be achieved through correlation with germline DNA repair gene mutations using the Color Genomics panel, investigational 18F-DCFPyL PET/CT imaging and measurement of circulating tumor cells, circulating tumor DNA and deep sequencing of circulating T-cell receptor repertoires. Results Since activation in April 2016 we have had enrollment of 37 men and subsequent randomization of 36 out of the target 54. Thus far, as expected only minimal side-effects (no >Grade 3 toxicity) have been observed from the SABR alone. 67% (6/9) of eligible men on the observation arm have progressed at 6-months versus 33% (5/15) for the SABR arm. 2/20 (10%) men tested had germline DNA repair gene mutations (MUTYH c.1187G>A & CHEK2 c1555C>T). CellSearchTM detected only 1 CTC/7.5-ml in two men and the remaining eight men had no CTCs (20% detectability). In contrast, 9/17 (53% detectability) men had detectable CTCs using the HD-CTC platform and 3/4 (75%) interpretable cases showed a response following SABR. Other radiologic and blood correlatives are pending analysis and will be presented. Conclusion The ORIOLE trial (NCT02680587) is the first randomized Phase II study in the Western Hemisphere evaluating the safety and efficacy of SABR in oligometastatic hormonesensitive prostate cancer. Preliminary clinical data is promising and leading-edge laboratory and imaging correlates will allow an unprecedented opportunity to characterize, in isolation, the effects of SABR on the dynamics of and immunologic response of the oligometastatic state.",exclusion,Not the right comparator,,PM92,,,,
