source,ref-type,author,year,language,label,title,abstract,inclusion/exclusion,Reason/s for exclusion,Comments,electronic-resource-num,Repetit,Full text,Reason for exclusion
random-journal.pdf,ProM41,"Iles, N",2019,English,5 study;pro.m:#5;pro.p:#5,Challenges of running a cancer trial with multiple primary tumour sites-ICR-CTSU experience based on the CORE trial,"Introduction: : CORE (ClinicalTrials.gov NCT02759783) is a multicentre phase II randomised controlled trial investigating the addition of stereotactic body radiotherapy (SBRT) to conventional care for extracranial oligometastases in patients with breast, prostate and nonsmall cell lung cancer. Including multiple cohorts each with a different primary tumour site, allows efficient evaluation of safety of SBRT and feasibility of conducting subsequent cohort specific phase III trials; however this also presents several challenges for both trial design and management. Methods and Results: Trial eligibility criteria and patient pathways needed to be carefully considered to fit with different standard of care pathways for each cohort, whilst allowing for a combined analysis. Expertise for each cohort during protocol development and on oversight committees was essential. Similarly, at sites, liaising with three different clinical teams was common, necessitating a coordinated approach and more resources. The trial design originally assumed even recruitment across cohorts, but practically, while recruitment to breast and lung cohorts was as predicted, recruitment to prostate exceeded expectations. With a single recruitment target over all cohorts, the larger number of prostate cancer patients recruited impacted on the statistical assumptions. Recruitment to the prostate cohort was temporarily suspended, while engagement with breast and lung communities was increased, amendments to the protocol were made to improve recruitment to these cohorts and discussions around the implications to the trial design were had with the Trial Steering Committee. The control group progression-free survival estimate was revised based on the recruitment ratio seen between the cohorts and therefore the sample size was increased. Discussion(s): Recruitment was completed in February 2019. Frequent collaboration with the trial oversight committees and sites, and close monitoring of recruitment, enabled effective trial design and management to maximise the information gained from the trial, including the feasibility of subsequent phase III trials.",exclusion,Article on challenges of trial protocol,Check whether there are new results published from this clinical study,http://dx.doi.org/10.1186/s13063-019-3688-6,ProP49,,
random-journal.pdf,ProM42,"R., Phillips",2017,English,pro.m:#4;pro.p:#4,Changes in radiotherapeutic management of prostate cancer following psma-based 18F-DCFPYL pet imaging: A snapshot of prospective trials at a single institution,"Purpose/Objective(s): Local consolidation of all macroscopic tumor deposits is critical in the management of localized prostate cancer and mounting evidence suggests that this precept may also extend to volume-limited distant metastases, the oligometastatic state, before disease has become widespread. Leading edge targeted molecular imaging techniques show promise for identification of potentially targetable lesions not apparent on conventional imaging (CT, MRI, or bone scan). We have characterized the impact of the investigational prostate specific membrane antigen (PSMA)-based 18F-DCFPyL PET imaging on the detection and radiotherapeutic management of prostate cancer. Purpose/Objective(s): Records from 31 patients who underwent 18F-DCFPyL PET/CT imaging as part of clinical trials at our institution and were subsequently treated with radiotherapy between June 2015 and February 2017 were reviewed. The concordance of this technique with conventional imaging, its ability to detect new sites of disease, and the resultant effects on treatment modality, radiation target volumes, and dose prescription were analyzed and tabulated. Result(s): 18F-DCFPyl PET radiotracer uptake was observed in 30 patients with PSA values ranging from undetectable to 360 ng/mL (median 0.4 ng/mL). Lesions not appreciated on conventional imaging were identified in 71% of the cohort, while 23% of patients had lesions indeterminate on conventional imaging that demonstrated no radiotracer uptake. Changes in radiotherapy management following 18F-DCFPyl PET imaging include: 52% of patients were treated with stereotactic ablative radiotherapy (SABR) to newly appreciated lesions; pelvic nodes demonstrating uptake were boosted in 23%; and salvage radiotherapy IMRT fields were asymmetrically expanded to boost areas of radiotracer uptake in the prostate bed in 6%. An additional 23% of patients were spared treatment to lesions assessed as less concerning based on lack of radiotracer avidity. Conclusion(s): 18F-DCFPyL PET imaging provides unique diagnostic data complementary to conventional techniques. This can impact initial TNM staging, effect treatment paradigms for recurrent disease, guide radiotherapy treatment planning by identifying lesions not otherwise appreciated and elucidating the character of indeterminate lesions. Importantly, radiotracer uptake can be seen at low and even undetectable PSA levels, potentially allowing earlier detection and treatment of low-volume metastases, a major goal in the evolving treatment of oligometastatic prostate cancer. Recognized limitations of this preliminary report include lack of biopsy confirmation of radiotracer-avid lesions and long term follow up to correlate treatment decisions with clinical outcomes, however these questions are areas of ongoing prospective investigation at our institution.",exclusion,Not dealing with the intervention of interest,Compares two imaging techniques,http://dx.doi.org/10.1016/j.ijrobp.2017.06.1224,ProP51,,
random-journal.pdf,ProM43,"Dorff, Tanya B",2017,eng,pro.m:#5,Chemotherapy for oligometastatic prostate cancer.,"PURPOSE OF REVIEW: To analyze recent trials of upfront chemotherapy to determine how this paradigm can be applied to oligometastatic prostate cancer patients. RECENT FINDINGS: Upfront chemotherapy prolongs survival in metastatic prostate cancer, according to the ChemoHormonal Therapy versus Androgen Ablation Randomized Trial for Extensive Disease in Prostate Cancer and STAMPEDE docetaxel trials. However, the benefit is driven by the high volume subset and may not apply to low-volume/oligometastatic patients. SUMMARY: Oligometastatic patients may not all share the same biology. Advanced imaging techniques may help to more accurately identify truly oligometastatic patients. Molecular markers will be necessary to distinguish oligometastatic patients who fare well enough with androgen deprivation therapy alone as opposed to those for whom upfront chemotherapy may be beneficial. Emerging molecular markers of docetaxel sensitivity, such as loss of lysine-specific demethylase 5d, warrant prospective validation with one goal of identifying oligometastatic patients with greatest likelihood of benefit from this strategy.",exclusion,Review on chemotherapy,,10.1097/MOU.0000000000000446,,,
random-journal.pdf,ProM44,"Hong, Julian C",2018,eng,5 study;LIV.M:#5;LIV.P:#5;pro.m:#5;pro.p:#5,Classification for long-term survival in oligometastatic patients treated with ablative radiotherapy: A multi-institutional pooled analysis.,"BACKGROUND: Radiotherapy is increasingly used to treat oligometastatic patients. We sought to identify prognostic criteria in oligometastatic patients undergoing definitive hypofractionated image-guided radiotherapy (HIGRT). METHODS: Exclusively extracranial oligometastatic patients treated with HIGRT were pooled. Characteristics including age, sex, primary tumor type, interval to metastatic diagnosis, number of treated metastases and organs, metastatic site, prior systemic therapy for primary tumor treatment, prior definitive metastasis-directed therapy, and systemic therapy for metastasis associated with overall survival (OS), progression-free survival (PFS), and treated metastasis control (TMC) were assessed by the Cox proportional hazards method. Recursive partitioning analysis (RPA) identified prognostic risk strata for OS and PFS based on pretreatment factors. RESULTS: 361 patients were included. Primary tumors included non-small cell lung (17%), colorectal (19%), and breast cancer (16%). Three-year OS was 56%, PFS was 24%, and TMC was 72%. On multivariate analysis, primary tumor, interval to metastases, treated metastases number, and mediastinal/hilar lymph node, liver, or adrenal metastases were associated with OS. Primary tumor site, involved organ number, liver metastasis, and prior primary disease chemotherapy were associated with PFS. OS RPA identified five classes: class 1: all breast, kidney, or prostate cancer patients (BKP) (3-year OS 75%, 95% CI 66-85%); class 2: patients without BKP with disease-free interval of 75+ months (3-year OS 85%, 95% CI 67-100%); class 3: patients without BKP, shorter disease-free interval, ≤ two metastases, and age < 62 (3-year OS 55%, 95% CI 48-64%); class 4: patients without BKP, shorter disease-free interval, ≥ three metastases, and age < 62 (3-year OS 38%, 95% CI 24-60%); class 5: all others (3-year OS 13%, 95% CI 5-35%). Higher biologically effective dose (BED) (p < 0.01) was associated with OS. CONCLUSIONS: We identified clinical factors defining oligometastatic patients with favorable outcomes, who we hypothesize are most likely to benefit from metastasis-directed therapy.",exclusion,Other study design,,10.1371/journal.pone.0195149,ProP52,,
random-journal.pdf,ProM45,"K., Cheng",2017,English,pro.m:#5;pro.p:#5,"Clinical outcomes of hypofractionated stereotactic body radiation therapy boost for the treatment of localized, non-metastatic, high-risk prostate cancer","Purpose: Stereotactic body radiation therapy (SBRT) delivers high doses of radiation therapy to the prostate while minimizing radiation to sur-rounding organs. Hypofractionated SBRT as a boost to conventional ex-ternal beam radiation therapy (EBRT) allows increased radiation dosage with decreased frequency of delivery. This analysis reports on early prostate-cancer-specific quality of life outcomes in patients with localized non-metastatic high risk prostate cancer treated with hypofractionated SBRT boost on a Phase 2 in-house clinical trial. We hypothesize that hypofractionation will increase dose-equivalent delivered to tumor with comparable toxicity profile as measured by quality of life outcomes. Methodology: From September 2011 to November 2015, 12 patients with localized high risk prostate cancer were treated with androgen dep-rivation therapy (ADT), intensity-modulated radiation therapy (IMRT) to the pelvis (45 Gy) and hypo-fractionated SBRT boost. Robotic SBRT delivered a total dose of 21 Gy in three fractions. Quality of life was assessed using the Expanded Prostate Cancer Index Composite-26 (EPIC 26) and the European Quality of Life-5 Dimensions test (EQ-5D). These parameters were recorded at baseline, 1, 3, 6, 12, 18 months, 2, 3 and 5 years after treatment. Here, we report on early outcomes of the study at baseline, 1, 3, 6, 12 and 18 months after treatment. A two tailed paired t-test was used to compare the data before and after treatment. Result(s): Twelve patients underwent EBRT with hypofractionated SBRT boost. After the first 10 patients treated reached 6 months of follow-up, interim safety analysis revealed no grade 3-5 rectal toxicity. A mean baseline EPIC-26 urinary irritation/obstructive score of 80.2 decreased to 71.4 at 1 month post-treatment (p = 0.19) but returned to baseline with 81.3 at 3 months post-treatment (p = 0.82). At baseline, 25% of men described their urinary function as a moderate to big problem, and that proportion increased to 50% 1 month following completion of SBRT before decreasing to 33.3% at 18 months. Zero percent of men described their bowel function as a moderate to big problem at baseline. The proportion increased to 8.3% 1 month post-treatment before going back to baseline at 18 months. Conclusion(s): Hypofractionated SBRT boost for the treatment of high risk prostate cancer was well tolerated as determined by urinary irritation, incontinence and bowel function and bother. Symptoms were comparable to those observed following traditional EBRT. Further data collection and analysis at 2, 3, and 5 years post-treatment are required to assess long term toxicity and efficacy.",exclusion,Other study design + no comparator,,http://dx.doi.org/10.1007/s13566-018-0348-5,ProP54,,
random-journal.pdf,ProM46,"Chaw, C L",2020,English,pro.m,Clinical Outcomes of Stereotactic Body Radiotherapy With Immediate Versus Delayed Hormone Therapy in Men With Oligometastatic Recurrence of Prostate Cancer,"Aims: Stereotactic body radiotherapy (SBRT) with the delayed option of androgen deprivation therapy (ADT) is the current treatment paradigm in men relapsed with oligometastatic prostate cancer based on the outcome of a phase II randomised controlled study. The immediate (concomitant) use of ADT in this clinical setting potentially augments the efficacy of SBRT by improving systemic disease control. The aim of this study was to compare the clinical outcomes of these two treatment strategies. Material(s) and Method(s): Eighty-eight patients with up to three oligometastases and controlled primary disease who had been treated using SBRT with immediate or delayed ADT were included in this retrospective analysis. Progression-free survival (PFS), widespread failure-free survival (WFFS) and freedom from further interventions (FFFI) were assessed using Kaplan-Meier and Cox proportional hazard regression methods. Toxicity was evaluated using Common Terminology Criteria for Adverse Events (CTCAE) v4.0. Result(s): Thirty-nine patients (44.3%) were treated with SBRT and immediate ADT (continuous ADT, n = 7; intermittent ADT, n = 32) and 49 (55.7%) with SBRT and delayed ADT. The median follow-up was 24 months (interquartile range 13.5-37.0 months). PFS in the immediate and delayed ADT groups were 26 months and 16 months, respectively (P < 0.007). The median WFFS in the immediate ADT group was not reached compared with 21 months in the delayed ADT group (P = 0.025). The 1- and 2-year FFFI in the immediate ADT group were 88% and 64.1%, respectively, significantly higher than those in the delayed ADT group (63.8% and 30.2%, respectively, P < 0.002). Acute toxicities of grade 1-2 occurred in 17.9% of the immediate ADT group and 18.4% of the delayed ADT group (P = 0.96). Only one case of grade 3 late toxicity (pelvic insufficiency) was identified in this study. Conclusion(s): SBRT with concomitant ADT improves PFS, WFFS and FFFI as compared with SBRT with delayed ADT; this finding needs validation in a prospective, randomised study.Copyright © 2020 The Royal College of Radiologists",exclusion,Not the right comparator,treated using SBRT with immediate or delayed ADT ,http://dx.doi.org/10.1016/j.clon.2020.03.008,ProP55,,
random-journal.pdf,ProM47,"M.E., Rodriguez-Ruiz",2017,English,pro.m:#5,"Combined immunotherapy encompassing intratumoral polyICLC, dendritic-cell vaccination and radiotherapy in advanced cancer patients","Background: Combined tumor immunotherapy interventions have the potential to achieve additive or synergistic effects. Combined local injection of dsRNA analogues (mimicking viral RNA) and repeated vaccination with tumor-lysate loaded dendritic cells shows efficacy against a mouse model of established colon cancer. Method(s): In a pilot phase I clinical trial 16 advanced (stage IV) cancer patients received two cycles of a course consisting of four intradermal daily doses of monocyte-derived dendritic cells preloaded with autologous tumor lysate and matured for 24h with polyICLC (Hiltonol), TNF-A and IFN-A. On days+8 and +10 of each of each cycle, patients received intratumoral image-guided injections of 0.25 mg of Hiltonol. Each cycle was given 3-4 weeks apart and was preceded on day -7 by 600 mg/m2 of cyclophosphamide. The last six patients were given SABR (stereoatactic ablative radiotherapy) in some of the lesions including that injected with Hiltonol. Expression of a series of 25 inmune-relevant genes was sequentially monitored by RT-PCR on circulating PBMCs and serum concentrations of a cytokine panel were sequentially determined. Result(s): Combined treatment was feasible, safe and well tolerated without >grade 2 side effects. No objective responses by RECIST1.1 criteria were observed while nine patients experienced stabilization of disease (five of them in the six-patient radiotherapy cohort). A heavily pretreated castration-resistant prostate cancer patient experienced a remarkable mixed abscopal response to radiotherapy with responding lesions located far from the irradiated region. Response was associated to an increase of CD8 T cells infiltrating the tumor. In this series of patients post-Treatment elevated IFNb and IFNa mRNA in circulating PBMC following intratumoral Hiltonol was detected, in addition to increases of serum IL-12 and IL-1b following DC vaccination, that occurred more prominently in stable disease cases. Conclusion(s): This combination strategy aimed to resembling viral infection in tumor tissue, while on a dendritic-cell vaccine approach and added to radiotherapy is safe for advanced cancer patients and shows indications of immune-Associated activity.",exclusion,Not dealing with the intervention of interest,,,,,
random-journal.pdf,ProM48,"Zaorsky, Nicholas G",2016,eng,pro.m:#5;pro.p:#5,Comparison of outcomes and toxicities among radiation therapy treatment options for prostate cancer.,"We review radiation therapy (RT) options available for prostate cancer, including external beam (EBRT; with conventional fractionation, hypofractionation, stereotactic body RT [SBRT]) and brachytherapy (BT), with an emphasis on the outcomes, toxicities, and contraindications for therapies. PICOS/PRISMA methods were used to identify published English-language comparative studies on PubMed (from 1980 to 2015) that included men treated on prospective studies with a primary endpoint of patient outcomes, with _70 patients, and _5year median follow up. Twenty-six studies met inclusion criteria; of these, 16 used EBRT, and 10 used BT. Long-term freedom from biochemical failure (FFBF) rates were roughly equivalent between conventional and hypofractionated RT with intensity modulation (evidence level 1B), with 10-year FFBF rates of 45-90%, 40-60%, and 20-50% (for low-, intermediate-, and high-risk groups, respectively). SBRT had promising rates of BF, with shorter follow-up (5-year FFBF of >90% for low-risk patients). Similarly, BT (5-year FFBF for low-, intermediate-, and high-risk patients have generally been >85%, 69-97%, 63-80%, respectively) and BT+EBRT were appropriate in select patients (evidence level 1B). Differences in overall survival, distant metastasis, and cancer specific mortality (5-year rates: 82-97%, 1-14%, 0-8%, respectively) have not been detected in randomized trials of dose escalation or in studies comparing RT modalities. Studies did not use patient-reported outcomes, through Grade 3-4 toxicities were rare (<5%) among all modalities. There was limited evidence available to compare proton therapy to other modalities. The treatment decision for a man is usually based on his risk group, ability to tolerate the procedure, convenience for the patient, and the anticipated impact on quality of life. To further personalize therapy, future trials should report (1) race; (2) medical comorbidities; (3) psychiatric comorbidities; (4) insurance status; (5) education status; (6) marital status; (7) income; (8) sexual orientation; and (9) facility-related characteristics.",exclusion,,Incloure com a font per detectar altres estudis randomitzats,10.1016/j.ctrv.2016.06.006,ProP59,,
random-journal.pdf,ProM49,"Phillips, R M",2018,,pro.m,Complete biochemical response after stereotactic ablative radiotherapy of an isolated prostate cancer pelvic soft tissue recurrence detected by 18F-DCFPyL PET/CT,,exclusion,Case-report,,10.1016/j.eucr.2017.11.021,,,
random-journal.pdf,ProM50,"P., Cheung",2019,English,pro.m,Comprehensive Stereotactic Radiotherapy for Oligometastatic Prostate Cancer (CROP),"Purpose/Objective(s): This prospective phase I study assessed the use of SBRT to treat all tumor sites along with intermittent androgen deprivation therapy (ADT) in patients with hormone sensitive oligometastatic prostate cancer. Primary endpoint was incidence of SBRT induced late toxicities. Secondary endpoints included various measures of treatment efficacy including cumulative incidence of developing of castration resistant prostate cancer (CRPC) and overall survival (OS). Materials/Methods: Synchronous and metachronous metastatic disease presentations were eligible if there were <= 5 metastases, with <= 3 metastases in any single organ system. Conventional scans (CT/bonescan +/- MRI) were used to stage patients at baseline, although novel PET imaging was optional. SBRT was delivered to all sites of disease, including the prostate if not previously treated. SBRT dose was site dependent but was generally 30-35 Gy in 5 fractions for lymph nodes and non-spine bone, 24 Gy in 2 fractions for spine, and 35 Gy in 5 fractions to the prostate. Patients received ADT for 1 year before moving to an intermittent approach. ADT was not to be restarted until the PSA reached >= 10 ng/mL or earlier if clinically indicated. Toxicity (CTCAE v4.0) and PSA measurements were collected every 4 months during follow-up. Conventional scans were performed at a minimum of once per year, although more frequent imaging was allowed at the discretion of the physician. Result(s): 30 patients were accrued with a median age of 74 years. Median follow-up time was 34 months (range 15 - 51). Median baseline PSA was 8.0 ng/mL (range 1.0 - 148.6). 46.7% of patients had Gleason score of 8-10. 9 patients had synchronous disease presentation. Only 3 patients were staged with novel PET imaging. 47 metastases were irradiated, with 36 being in bone. 2 patients developed acute grade 3 GI toxicities. 1 patient developed late grade 3 GU toxicity and 1 patient developed a late SBRT induced bone fracture. There were no grade 4/5 toxicities. Median PSA nadir was 0.03 ng/mL. 46.6% of patients reached a PSA nadir of <= 0.02 ng/mL, while 93% of patients reached a PSA nadir of < 1 ng/mL. The cumulative incidence (CI) of restarting ADT was 47.5% at 3 years. In those who restarted ADT, the median time to the event was 25.8 months. The CI of developing CRPC was 17.2% at 3 years. In those who developed CRPC, the median time to the event was 17.7 months. The CI of local failure of irradiated sites was 10.1% at 3 years. The CI of developing new metastases was 26.3% at 3 years. OS was 89.5% at 3 years. Conclusion(s): The incidence of grade >= 3 toxicity was low when combining SBRT with intermittent ADT in patients with hormone sensitive oligometastatic prostate cancer. Efficacy appears to be promising compared to historical outcomes of using ADT alone, especially with regards to the development of CRPC. This study has since been expanded into a larger phase II design with 90 patients enrolled.Copyright © 2019",exclusion,Other study design (phase I/II),,http://dx.doi.org/10.1016/j.ijrobp.2019.06.1886,ProP61,,
random-journal.pdf,ProM51,"McDonald, Rachel",2016,eng,pro.m,Computed Tomography Evaluation of Density Following Stereotactic Body Radiation Therapy of Nonspine Bone Metastases.,"INTRODUCTION: Stereotactic body radiation therapy allows for the precise delivery of high-dose radiation to disease sites and is becoming increasingly used to treat nonspine bone metastases. Previous studies have shown that remineralization of lytic bone metastases follows after conventional radiotherapy. The objective of this study was to investigate changes in bone density in nonspine bone metastases following stereotactic body radiation therapy. METHODS: A retrospective review was conducted for all patients treated with stereotactic body radiation therapy to nonspine bone metastases between May 2011 and April 2014. A minimum of 1 pretreatment and 1 posttreatment computed tomography scan was required. An independent musculoskeletal radiologist contoured the lesions on the most representative computed tomography slices. Density was measured in Hounsfield units and analyzed using pretreatment and posttreatment ratios. RESULTS: Forty sites were treated (55% lytic, 30% sclerotic, and 15% mixed). The median follow-up duration was 7 months. Lytic osseous metastases from renal cell carcinoma progressed during initial follow-up imaging and then returned to baseline. Of 9 lytic lesions not from renal cell carcinoma, 6 showed an immediate increase in density and 2 remained stable. Six of 7 sclerotic lesions from prostate cancer showed decreased density throughout all follow-ups. CONCLUSION: Stereotactic body radiation therapy is efficacious in the remineralization of lytic and demineralization of sclerotic nonspine bone metastases.",exclusion,Other tumor treated (skeletal),,10.1177/1533034615604068,,,
random-journal.pdf,ProM52,"M., Warren",2015,English,pro.m:#5;pro.p:#5,"Computed tomography guided placement of high activity, low dose rate (HALDR) brachytherapy seeds","Objectives: The trend to fewer, high dose per fraction stereotactic treatments for primary and salvage therapy has grown rapidly in the last decade. Modern technologies are capable of delivering sculpted dose with rapid dose fall off, mimicking dose gradients associated with brachytherapy approaches. One approach that is seldom used but holds great promise employs ultra-simple implants using high activity sources. This technique would be well suited for retreatment from the normal tissue standpoint since dose is delivered over months at a low dose rate. Preliminary responses in refractory tumors suggest efficacy and safety, and a vast potential for combination therapy approaches. HALDR approach allows for CT or ultrasound guided implants to be delivered by small gauge needles to any part of the body. Method(s): HALDR brachytherapy is minimally-invasive, less disruptive in side effects, and requires a small time commitment to the procedure. For heavily pretreated solid tumors, seeds placed within the tumor under CT guidance, with an overnight stay for observation is far easier than heroic resections in a prior radiated field. Three clinical examples will be presented. Result(s): Patient 1 is a 54 yo man with prostate cancer post prostatectomy treated with radiation for rising PSA. He later has a bladder neoplasm and under goes cystectomy. A small cell neoplasm of the bladder is found and subsequently treated with chemotherapy. 4 months after completion he develops a small cell metastasis adherent to the pelvic side wall. He is retreated with beam radiation and chemotherapy with a partial response. 4 months later the mass progresses and no further chemotherapeutic options remain. He underwent placement of 3 high activity I-125 sources by CT guidance delivering approximately 5 cGy/hr. He has a partial response by serial CT and continues with stable disease 36 months after implant. Patient 2 was a 50 yo woman with a head and neck sarcoma treated initially with neck dissection and post-operative radiation therapy and chemotherapy. 2 years later there is recurrence treated with partial resection, chemotherapy, and salvage external beam therapy. 1.5 years later she develops two discrete nodules in the neck ranging from 4-5 cm. She undergoes CT guided I-125 high activity seed implant with dramatic response of both lesions. 8 months later, she develops two other recurrences treated with high activity sources and again achieves excellent palliation for 6 months. Patient 3 is a 66 year old male with a pancreatic tail adenocarcinoma who had a PET CT that showed an SUV of 10.5. After treatment with chemotherapy he had minimal change in the size of the neoplasm and underwent CT guided placement of two external beam markers and two I-125 seeds (22.9 cGycm2/hr for a total of 103 Gy). 19 days later a repeat PET CT demonstrated that the lesion had decreased in size and now had an SUV of 4.4. Conclusion(s): CT guided placement of HALDR brachytherapy is a promising backup and alternative to hypofractionated SBRT approaches for salvage of refractory local ized solid tumors. In preliminary reports and experience such low dose rate therapy has been well tolerated even in patients treated with initial full dose with external beam and SBRT salvage, confirming the normal tissue sparing effects of low dose rate implants. Since most practitioners may employ this in very limited number of patients, an international registry may be necessary to further define the potential of this approach in anticipation of prospective trials.",exclusion,Not dealing with intervention of interest,,http://dx.doi.org/10.1016/j.jvir.2015.03.007,ProP62,,
random-journal.pdf,ProM53,Anonymous.,2017,English,pro.m:#5;pro.p:#5,Controversies in Clinical Oncology 2016,"The proceedings contain 31 papers. The topics discussed include: quality assurance and acute toxicities of a 2 week hypofractionated palliative radiotherapy schedule used in a prospective phase I/II study (HYPORT study); demographic trends in patients with breast cancer and its management over a decade; predicting sentinel and non-sentinel lymph node metastasis e are mskcc nomograms valid for non-screened breast cancer patients?; risk factors for breast cancer - how much weightage for weight?; clinical profile and outcome of patients with stage I-III breast cancer treated at the regional cancer centre, Thiruvananthapuram; demographics and outcomes of breast cancer patients treated at Tata Medical Center, Kolkata; dosimetric and toxicity results of intensity-modulated radiotherapy for locally advanced pancreatic cancer from a single institute; feasibility of D2 gastrectomy in eastern India: early results; radical dose escalated image-guided radiotherapy and concurrent cisplatinum for locally advanced oesophageal cancer: potential standard in developing country setting; a comparison of toxicities and clinical benefit of radium 223 between different age groups; stereotactic body radiotherapy (SBRT) for localised prostate cancer on the magnetic resonance Linac; prostate low dose rate brachytherapy: the Cambridge experience; and axillary reverse mapping (ARM) to identify the sentinel node of the upper limb in breast cancer surgery.",exclusion,Proceedings,,,ProP63,,
random-journal.pdf,ProM54,NCT02759783,2016,,5 study;pro.m:#5;pro.p:#5,Conventional Care Versus Radioablation (Stereotactic Body Radiotherapy) for Extracranial Oligometastases,"Metastatic spread of cancer from its primary site to distant organs is the commonest cause of death from cancer. The term oligometastases describes an intermediate metastatic state, in which cancer exists as a limited number of metastases at first, before cells acquire the ability to metastasise more widely. For the large majority of solid cancers, once metastatic disease has been diagnosed the chances of cure are small. There are several situations where this is not the case, but it is not known if stereotactic body radiotherapy (SBRT) for oligometastatic disease will alter outcomes or whether the toxicity burden of this treatment is justified. SBRT is targeted radiotherapy which destroys cancer cells in the area of the body it is aimed at however low dose radiation may be received by surrounding tissue.
random-journal.pdf,It is difficult to quantify incidence of patients with multiple primary cancers developing at intervals that are representative of oligometastatic stage IV disease, (defined for the purposes of this trial as ≤ 3 metastatic sites). However an increase in the use of surveillance imaging, together with improved diagnostic sensitivity has led to the diagnosis of patients with asymptomatic oligometastatic relapse becoming a more common clinical occurrence. The CORE study is a randomized controlled trial that will be conducted in patients with cancer in one of three primary sites where oligometastatic disease relapse is a common clinical scenario: breast, prostate and non-small cell lung cancer (NSCLC). The study will evaluate the use of SBRT in this patient population.
random-journal.pdf,Eligible patients who consent to participate in this clinical trial will be randomized to receive standard care or standard care plus SBRT we hope to recruit approximately 206 patients to the study and the primary outcome measure is progression free survival.",inclusion,,Sembla satisfer criteris d'inclusió. Llegir full-text per a més detalls.,,ProP64,,"Status according to Clinicaltrials on 30-12-2020: Active, not recruiting"
