source,ref-type,author,year,language,label,title,abstract,inclusion/exclusion,Reason/s for exclusion,Comments,electronic-resource-num
random-journal.pdf,LivM35,,2017,English,5 study;LIV.M:#1;LIV.P:#1,Carbon-ion therapy of lung cancer,"Introduction Approximately 65 particle therapy facilities are in operation worldwide. Among them, only 10 have carbon-ion therapy (CIRT) facilities (5 in Japan, 2 in Germany, 2 in China, and 1 in Italy), and the remainder have proton therapy facilities. More than 137,000 patients were treated with particle therapy worldwide from 1954 to 2014, including 15,000 in 2014, 86% of which were treated with protons and 14% with carbon ions and other particles (from the Particle Therapy Co- Operative Group: http://www.ptcog.ch/). The National Institute of Radiological Sciences (NIRS) Chiba, Japan, has been treating cancer with high-energy carbon ions since 1994. Most of the patients who have been cured of cancer worldwide with carbon ions were treated at NIRS.1 From NIRS's data, the efficacy of CIRT for nonsmall cell lung cancer (NSCLC) has been suggested. Here those results are reviewed, and the issue of this modern technology is discussed. Characteristics of carbon-ion therapy CIRT has better dose distribution to tumor tissue, while minimizing surrounding normal tissue dose, compared with photon radiotherapy. Moreover, carbon ions have potential advantages over protons. They provide a better physical dose distribution due to lessened lateral scattering. Further, their higher relative biological effectiveness and lower oxygen enhancement ratio are desirable features for targeting radioresistant, hypoxic tumors. The difference between densely ionizing nuclei and sparsely ionising x-rays and protons offers further potential radiobiological advantages, such as reduced repair capacity, decreased cell-cycle dependence, and possibly stronger immunological responses. Carbon-ion therapy of early non-small cell lung cancer: Surgical resection with lobectomy has been the standard treatment of choice for early-stage NSCLC. In a 2004 study of a Japanese lung cancer registry comprising 11,663 surgical cases, overall survival (OS) rates at 5 years for stages IA and IB disease are 82.0% and 66.8%, respectively.2 Radiotherapy is an option for patients who are not eligible for surgery or refuse it. Recently, hypofractionated radiotherapy is regarded as an alternative to surgery for localized NSCLC, using x-ray stereotactic body radiotherapy (SBRT) or particle therapy using protons or carbon-ions. With regard to CIRT, for peripheral stage I NSCLC, the number of fractions was reduced in different trials from 18 to 9, then 4, and finally to a single fraction at NIRS (Table). The results with CIRT in stage IA NSCLC are similar to the best SBRT results reported worldwide. For stage IB disease, CIRT results appear superior to those reported for photon SBRT in terms of local control and lung toxicity. Despite high local control, disease-specific survival is much lower in stage IB than in stage IA because distant metastatic recurrences are common. A combination of CIRT with systemic therapy is therefore essential to improve survival. CIRT demonstrates a better dose distribution than both SBRT and proton therapy in most cases of early-stage lung cancer. Therefore, CIRT may be safer for patients with adverse conditions such as large tumors, central tumors, and poor pulmonary function. Multiinstitutional retrospective study of CIRT for stage I NSCLC was completed and will be presented at ASTRO 2016 by the Japan Carbon-ion Radiation Oncology Study Group (J-CROS). Carbon-ion therapy of locally advanced non-small cell lung cancer: There was only one report about CIRT for locally advanced NSCLC. A prospective nonrandomized phase I/II study of CIRT in a favorable subset of locally advanced NSCLC was reported from NIRS.9 They showed that short-course carbon-ion monotherapy (72GyE/16Fr) was associated with manageable toxicity and encouraging local control rates. Among them, cT3- 4N0M0 patients were good candidates for CIRT. There is otherwise a lack of evidence currently for CIRT for locally advanced NSCLC, and more study is needed. Moreover, concurrent systemic therapy is essential to improve survival for locally advanced NSCLC. Future directions: We organized a multi-institutional study group of carbon-ion radiation oncology in Japan (J-CROS). This group is currently conducting trials on several tumor sites which are thought to be most attractive for CIRT, including NSCLC, head and neck disease, locally advanced unresectable pancreatic cancer, hepatocellular carcinoma, locally recurrent rectal cancer, and others. The outcomes of CIRT for stage I NSCLC at all Japanese carbon centers were pooled and retrospectively analyzed. Consequently, CIRT may be considered a low-risk and effective treatment option for patients with stage I NSCLC. J-CROS has now begun a confirmatory multi-institutional prospective study to confirm these results.",exclusion,Wrong intervention,,
random-journal.pdf,LivM36,"Jiang, Julie M",2019,English,LIV.M:#5;LIV.P:#5,Centers with more therapeutic modalities are associated with improved outcomes for patients with hepatocellular carcinoma,"BACKGROUND: Higher facility volume is correlated to better overall survival (OS), but there is little knowledge on the effect of facility treatment modality number on OS in hepatocellular carcinoma (HCC). METHODS: This is a retrospective analysis of data from the National Cancer Database (NCDB) from 2004-2014 on patients with non-metastatic HCC. Treatment modalities assessed were surgical resection, transplantation, ablation, radioembolization, stereotactic body radiation therapy (SBRT), single-agent chemotherapy, and multi-agent chemotherapy. Facilities were dichotomized at the median of the listed treatment modalities. RESULTS: There were a total of 112,512 patients with non-metastatic HCC. Of a total of 1,230 sites, 830 (67.5%) used four or fewer modalities. Average survival for patients treated at facilities using fewer modalities was 12.0 and 23.5 months for those treated at facilities with more modalities [hazard ratio (HR) =0.52, 95% confidence interval (CI): 0.51-0.53, P<0.001]. After adjusting for facility volume, liver function, tumor and patient characteristics and other prognostic factors in a multivariable Cox model, treatment at a multi-modality facility still provided a survival advantage (HR =0.60, 95% CI: 0.52-0.70, P<0.001). This benefit also persisted after propensity score matching. Sensitivity analysis varying the cut point from 2 to 6 modalities for dichotomization showed that the benefit persisted. Subgroup stratified analyses based on stage showed that the benefit in OS was highest for patients with stage I and II (P≤0.002) but was not significant for stage III or IVa. CONCLUSIONS: Institutions that offered more treatment modalities had improved OS for patients with non-metastatic HCC, especially for those with stage I and II.",exclusion,Other study,,10.21037/jgo.2019.01.30
random-journal.pdf,LivM37,"Toesca, Diego A S",2017,eng,LIV.M:#4;LIV.P:#4,Central liver toxicity after SBRT: An expanded analysis and predictive nomogram.,"PURPOSE: To further explore the correlation of central biliary tract (cHBT) radiation doses with hepatobiliary toxicity (HBT) after stereotactic body radiation therapy (SBRT) in a larger patient dataset. METHODS: We reviewed the treatment and outcomes of all patients who received SBRT for primary liver cancer (PLC) and metastatic liver tumors between July 2004 and November 2015 at our institution. The cHBT was defined as isotropic expansions (5, 10, 15, 20 and 25mm) from the portal vein (PV). Doses were converted to biologically effective doses by using the standard linear quadratic model with α/β of 10 (BED(10)). HBT was graded according to the Common Terminology Criteria for Adverse Events v4.03. RESULTS: Median follow-up was 13months. Out of the 130 patients with complete follow-up records analyzed, 60 (46.1%) had liver metastases, 40 (30.8%) had hepatocellular carcinoma (HCC), 26 (20%) had cholangiocarcinoma (CCA) and 4 (3.1%) patients other PLC histologies. Thirty-three (25.4%) grade 2+ and 28 (21.5%) grade 3+ HBT were observed. Grade 3+ HBT was seen in 13 patients (50%) with CCA, 7 patients (17.5%) with HCC and 7 (11.7%) patients with liver metastases. SBRT doses to the cHBT were highly associated with HBT, but only for PLC patients when analyzed by histological subtype. The 15mm expansion from the PV (cHBT(15)) proved to be an appropriate surrogate for the cHBT. The strongest cHBT(15) dose predictors for G3+ HBT for PLC were the V(BED10)40⩾37cc (p<0.0001) and the V(BED10)30⩾45cc (p<0.0001). CONCLUSION: SBRT doses to the cHBT are associated with occurrence of HBT only in PLC patients. Limiting the dose to the cHBT to V(BED10)40<37cc and V(BED10)30<45cc when treating PLC patients with SBRT may reduce the risk of HBT.",exclusion,No comparator,,10.1016/j.radonc.2016.10.024 
random-journal.pdf,LivM38,"K., Rajamanickam",2017,English,LIV.M:#5;LIV.P:#5,Changes in normal liver volume after radiation in cancer of the liver: A case series,"Aims: To report liver volume changes and their impact on liver function following hepatic radiation with or without chemotherapy in patients with hepatic malignancies. Method(s): Between January 2015 and April 2016, consecutive patients with unresectable hepatic lesions (hepatocellular cancer (HCC), cholangiocarcinoma (CCA) or liver metastasis) who received either conventional or stereotactic radiation (SBRT) were included. All patients were required to have Child Pugh status B7 or less prior to hepatic radiation. Total liver volume, gross tumour volume (GTV), normal liver volume (total liver volume-GTV) was determined. First follow-up scans were used to determine changes, if any, in liver volume. As the dose prescription of each patient was individualised, biologically equivalent dose (BED) was calculated. Univariate analysis (Fisher's exact test) was carried out to determine correlation if any between liver volume changes and total dose, GTV at treatment, use of systemic chemotherapy, primary tumour type, baseline liver function status, age and viral marker status. P P<0.05 was considered significant. Result(s): 13 patients received either SBRT or concurrent chemoradiation. Of these 6/7 patients with HCC received TACE prior to RT initiation and all received sorafenib whereas 3/4 with CCA received gemcitabine and cisplatin concurrently with radiation. All patients were Child A prior to initiation of treatment. The patient data are shown in Table 1. On univariate analysis, only the amount of normal liver volume at baseline showed significance (P=0.005), with the larger the volume present, the more the volume loss. Other patient and treatment related factors did not impact liver volume changes. Conclusion(s): This study shows the pre-treatment volume of normal liver makes a significant impact on the liver volume loss after the treatment. (Table Presented).",exclusion,Wrong intervention,,http://dx.doi.org/10.1016/j.clon.2016.10.038 
random-journal.pdf,LivM39,"Tahover, E",2018,English,LIV.M:#2,Chemo-radiotherapy of oligometastases of colorectal cancer with pegylated liposomal mitomycin-C prodrug (PROMITIL): mechanistic basis and preliminary clinical experience,"Hypo-fractionated radiotherapy and stereotactic body radiotherapy are viable options for treatment of oligometastases. A prodrug of mitomycin-C is under clinical testing as a pegylated liposomal formulation (Promitil) with an improved safety profile over mitomycin-C. Promitil was offered to two patients with oligometastases from colorectal cancer as radiosensitizer. Each derived durable clinical benefit from Promitil administered immediately prior to and following irradiation. Transient toxicity to normal tissues of moderate to severe degree was observed. Promitil appears to have potential clinical value in this setting.Copyright © 2018 Tahover, Bar-Shalom, Sapir, Pfeffer, Nemirovsky, Turner, Gips, Ohana, Corn, Wang and Gabizon.",exclusion,Wrong intervention,,10.3389/fonc.2018.00544
random-journal.pdf,LivM40,"Furdová, A",2018,eng,LIV.M:#1;LIV.P:#1,Ciliary body melanoma treatment by stereotactic radiosurgery.,"INTRODUCTION: Malignant melanoma of the ciliary body (corpus ciliare) represents 10 to 15 percent of tumors of the uveal tract. The aim of the work is to evaluate the effectiveness of stereotactic radiosurgery performed on LINAC linear accelerator and the occurrence of postoperative complications. MATERIAL AND METHODS: Retrospective analysis of patients with ciliary body melanoma treated with stereotactic radiosurgery on linear accelerator in the period 1/2011 to 12/2016 in Slovakia. RESULTS: From 1/2011 to 12/2016 a group of 27 patients with melanoma of the ciliary body underwent one day session stereotactic radiosurgery irradiation on linear accelerator (SRCH). Primary enucleation was indicated in 10 (37 %) patients. A group of 17 (63 %) patients were treated with stereotactic radiosurgery. In a group of 17 patients indicated for SRCH, 7 (41 %) were diagnosed in T1 stage, 8 (47 %) in T2 stage. In 2 (12 %) patients who refused primary enucleation, palliative irradiation was indicated in T3 stage, and later metastases appeared in liver and systemic chemotherapy was indicated. The therapeutic dose in all patients was TD 35 Gy, TD max 42 Gy. The mean age of patients at the time of irradiation was 60.8, the youngest patient was 40 and the oldest was 80 years old. The follow-up period was 12 months to 5 years. CONCLUSION: Currently, in Slovakia, the only irradiation possibility to treat ciliary body melanoma is stereotactic radiosurgery. In our group of 17 patients, this method appears to be effective in the treatment of T1 to T2 stage. The results are comparable to brachytherapy and proton beam irradiation therapy. Key words: corpus ciliare, uveal melanoma, linear accelerator, stereotactic radiosurgery.",exclusion,Wrong patients,,
random-journal.pdf,LivM41,"Hong, Julian C",2018,eng,5 study;LIV.M:#5;LIV.P:#5;pro.m:#5;pro.p:#5,Classification for long-term survival in oligometastatic patients treated with ablative radiotherapy: A multi-institutional pooled analysis.,"BACKGROUND: Radiotherapy is increasingly used to treat oligometastatic patients. We sought to identify prognostic criteria in oligometastatic patients undergoing definitive hypofractionated image-guided radiotherapy (HIGRT). METHODS: Exclusively extracranial oligometastatic patients treated with HIGRT were pooled. Characteristics including age, sex, primary tumor type, interval to metastatic diagnosis, number of treated metastases and organs, metastatic site, prior systemic therapy for primary tumor treatment, prior definitive metastasis-directed therapy, and systemic therapy for metastasis associated with overall survival (OS), progression-free survival (PFS), and treated metastasis control (TMC) were assessed by the Cox proportional hazards method. Recursive partitioning analysis (RPA) identified prognostic risk strata for OS and PFS based on pretreatment factors. RESULTS: 361 patients were included. Primary tumors included non-small cell lung (17%), colorectal (19%), and breast cancer (16%). Three-year OS was 56%, PFS was 24%, and TMC was 72%. On multivariate analysis, primary tumor, interval to metastases, treated metastases number, and mediastinal/hilar lymph node, liver, or adrenal metastases were associated with OS. Primary tumor site, involved organ number, liver metastasis, and prior primary disease chemotherapy were associated with PFS. OS RPA identified five classes: class 1: all breast, kidney, or prostate cancer patients (BKP) (3-year OS 75%, 95% CI 66-85%); class 2: patients without BKP with disease-free interval of 75+ months (3-year OS 85%, 95% CI 67-100%); class 3: patients without BKP, shorter disease-free interval, ≤ two metastases, and age < 62 (3-year OS 55%, 95% CI 48-64%); class 4: patients without BKP, shorter disease-free interval, ≥ three metastases, and age < 62 (3-year OS 38%, 95% CI 24-60%); class 5: all others (3-year OS 13%, 95% CI 5-35%). Higher biologically effective dose (BED) (p < 0.01) was associated with OS. CONCLUSIONS: We identified clinical factors defining oligometastatic patients with favorable outcomes, who we hypothesize are most likely to benefit from metastasis-directed therapy.",exclusion,Wrong intervention,,10.1371/journal.pone.0195149
random-journal.pdf,LivM42,"J.Y., Wo",2015,English,LIV.M:#4,Clinical and molecular predictors of local failure after SBRT for liver metastases: A secondary analysis of a prospective phase II trial,"Purpose/Objective(s): We recently completed a phase 2 study to assess the efficacy of high-dose individualized SBRT for liver metastases. In this secondary analysis, we sought to identify clinical and molecular predictors of local failure. Materials/Methods: Patients were enrolled on an NCI sponsored, prospective, multi-institutional, single arm phase 2 study (NCT 01239381). Key eligibility were ECOG PS 0-2, age 18+, 1-4 liver metastases, and expected survival >3 months. There was no upper size limit; however, pts must have >=800 cm3 of uninvolved liver. Patients were treated with proton beam RT in 5 fractions to a total dose of 30-50 GyE, with individualized dose prescription based on dose received by non-target liver. Eligible patients from this phase 2 study formed the basis of this secondary analysis. Clinical/treatment characteristics evaluated include primary disease site (colorectal vs. pancreaticobiliary vs esophagogastric vs other), histology (adenocarcinoma vs SCC vs other), disease status at consent (progressing on chemo vs stable/ responding), number of lesions treated, sum of the longest tumor diameters and RT dose. Mutational analysis was performed with a multiplexed clinical assay on nucleic acid from formalin-fixed tissue (SNaPshot), which tests for >150 mutations across 15 commonly mutated cancer genes. Cox proportional hazards models were performed to evaluate associations of these study variables on local control. Result(s): From 2009-2014, 91 patients were enrolled into the study, of whom 90 were analyzed. With a median follow-up of 11 months (range, 0.3-41), the 1-year local control was 77%. Local control did not differ with respect to: primary disease site (P = .242); histology (P = .534); disease status at consent (P=.483); number of lesions treated (P=.786), sum of the longest tumor diameters (P = .167), or RT dose (P = .699). Mutational analysis was performed on 64 of the 90 patients. Among them, the following were present: 31 (48%) had no mutations found; 15 (23%) KRAS; 0 (0%) BRAF; 1 (2%) NRAS; 5 (8%) PIK3CA; 13 (20%) TP53, 3 (5%) HER2; 1 (2%) RET, 1 (2%) EGFR; and 1 (2%) MET. Presence of a KRAS mutation conferred a significantly higher risk of local failure among treated lesions compared to tumors without KRAS mutation (HR = 3.3, P = .006). One-year local control among patients with and without KRAS mutations were 39% and 79%, respectively. Neither presence of the PIK3CA mutation (P = .883) nor TP53 mutation (P = .111) were associated with local control. Conclusion(s): In our prospective phase 2 study of SBRT for liver metastases, KRAS mutant tumors had significantly higher rates of local failure compared tumors without KRAS mutations. Liver metastases with KRAS mutations treated with SBRT may benefit from further dose-escalation or other strategies.",exclusion,"Wrong intervention, no comparator",,
random-journal.pdf,LivM43,"Galmén, Karolina",2018,eng,LIV.M:#2,Clinical application of high frequency jet ventilation in stereotactic liver ablations - a methodological study.,"Background: Computer-assisted navigation during thermal ablation of liver tumours, may help to correct needle placement and improve ablation efficacy in percutaneous, laparoscopic and open interventions. The potential advantage of using high frequency jet-ventilation technique (HFJV) during the procedure is by minimising the amplitude of respiration-related upper-abdominal organs movements. The aim of this clinical methodological trial was to establish whether HFJV would give less ventilatory induced liver movements than conventional ventilation, during stereotactic navigated ablation of liver metastases under open surgery. Methods: Five consecutive patients scheduled for elective, open liver ablation under general propofol and remifentanil anaesthesia were included in the study protocol. During the stereotactic targeting of the tumours, HFJV was chosen for intraoperative lung ventilation. For tracking of liver movement, a rigid marker shield was placed on the liver surface and tracked with an optical position measurement system. A 4D position of the marker shield was measured for HFJV and conventional tidal volume lung ventilation (TV). At each time point the magnitude of liver displacement was calculated as an Euclidean distance between translational component of the marker shield's 3D position and previously estimated centroid of the translational motion. Results: The mean Euclidean liver displacement was 0.80 (0.10) mm for HFJV and 2,90 (1.03) mm for TV with maximum displacement going as far as 12 mm on standard ventilation (p=0.0001). Conclusion: HFJV is a valuable lung ventilation method for patients undergoing stereotactic surgical procedures in general anaesthesia when reduction of organ displacement is crucial.",exclusion,Wrong intervention,,10.12688/f1000research.14873.2
random-journal.pdf,LivM44,"Ogino, Akiyoshi",2018,eng,LIV.M:#1,Clinical features of brain metastases from hepatocellular carcinoma using gamma knife surgery.,"BACKGROUND: Brain metastases from hepatocellular carcinoma (HCC) are rare, but their incidence is increasing because of developments in recent therapeutic advances. The purpose of this study was to investigate the characteristics of brain metastases from HCC, to evaluate the predictive factors, and to assess the efficacy of gamma knife surgery (GKS). METHOD: A retrospective study was performed on patients with brain metastases from HCC who were treated at Tokyo Gamma Unit Center from 2005 to 2014. RESULTS: Nineteen patients were identified. The median age at diagnosis of brain metastases was 67.0 years. Fifteen patients were male and four patients were female. Six patients were infected with hepatitis B virus (HBV). Two patients were infected with hepatitis C virus (HCV). Eleven patients were not infected with HBV or HCV. The median interval from the diagnosis of HCC to brain metastases was 32.0 months. The median number of brain metastases was two. The median Karnofsky performance score at first GKS was 70. The median survival time following brain metastases was 21.0 weeks. Six-month and 1-year survival rates were 41.2 and 0%, respectively. One month after GKS, no tumor showed progressive disease. The HBV infection (positive vs. negative) was significantly associated with survival according to univariate analysis (p = 0.002). CONCLUSIONS: The patients having brain metastases from HCC had poor prognosis and low performance state. Therefore, GKS is an acceptable option for controlling brain metastases from HCC because GKS is noninvasive remedy and local control is reasonable.",exclusion,Wrong patients,Metastasis is from liver to brain (not the other way round),10.1007/s00701-018-3504-1
random-journal.pdf,LivM45,"Gargett, M",2019,eng,LIV.M:#2,Clinical impact of removing respiratory motion during liver SABR.,"BACKGROUND: Liver tumors are subject to motion with respiration, which is typically accounted for by increasing the target volume. The prescription dose is often reduced to keep the mean liver dose under a threshold level to limit the probability of radiation induced liver toxicity. A retrospective planning study was performed to determine the potential clinical gains of removal of respiratory motion from liver SABR treatment volumes, which may be achieved with gating or tumor tracking. METHODS: Twenty consecutive liver SABR patients were analysed. The treated PTV included the GTV in all phases of respiration (ITV) with a 5 mm margin. The goal prescription was 50Gy/5# (BED 100 Gy(10)) but was reduced by 2.5 Gy increments to meet liver dose constraints. Elimination of motion was modelled by contouring the GTV in the expiration phase only, with a 5 mm PTV margin. All patients were replanned using the no-motion PTV and tumor dose was escalated to higher prescription levels where feasible given organ-at-risk constraints. For the cohort of patients with metastatic disease, BED gains were correlated to increases in tumour control probability (TCP). The effect of the gradient of the TCP curve on the magnitude of TCP increase was evaluated by repeating the study for an additional prescription structure, 54Gy/3# (BED 151 Gy(10)). RESULTS: Correlation between PTV size and prescribed dose exists; PTVs encompassing < 10% of the liver could receive the highest prescription level. A monotonically increasing correlation (Spearman's rho 0.771, p = 0.002) between the degree of PTV size reduction and motion vector magnitude was observed for GTV sizes <100cm(3). For 11/13 patients initially planned to a decreased prescription, tumor dose escalation was possible (5.4Gy(10)-21.4Gy(10) BED) using the no-motion PTV. Dose escalation in excess of 20 Gy(10) increased the associated TCP by 5% or more. A comparison of TCP gains between the two fractionation schedules showed that, for the same patient geometry, the absolute increase in BED was the overarching factor rather than the gradient of the TCP curve. CONCLUSIONS: In liver SABR treatments unable to be prescribed optimal dose due to exceeding mean liver thresholds, eliminating respiratory motion allowed dose escalation in the majority of patients studied and substantially increased TCP.",exclusion,No comparator,,10.1186/s13014-019-1300-6
random-journal.pdf,LivM46,"K., Hara",2018,English,LIV.M:#3,"Clinical outcomes after treatment for hepatocellular carcinoma, stereotactic body radiotherapy vs radiofrequency ablation: A propensity score-matched analysis","Background: Patients with early-stage hepatocellular carcinoma (HCC) as Barcelona Clinical Liver Cancer stage 0-A can benefit from potentially curative treatment such as resection, transplantation or ablation. Currently, deciding a therapeutic plan has become increasingly complex and requires consideration of multiple factors. In the US, a multidisciplinary liver tumor board has been becoming the standard and a key component of best practice protocol, though the treatment decision is still indefinite and largely depends on patient comorbidities and institutional preference or resources. Stereotactic Body Radiotherapy (SBRT) is expected to be another treatment option for early-stage HCC. Prospective studies of SBRT for small HCC showed high local control rates. In this study, we evaluated local control rate and adverse event rate after Radiofrequency ablation (RFA) and SBRT, and overall survival (OS) after propensity score matching (PSM). Method(s): Among patients treated with RFA at Yokohama City University Medical Center or SBRT at Ofuna Chuo Hospital between 2012 and 2016, patients who met all of the following criteria were eligible for this study: (1) HCC diagnosed with pathologically or graphically on computed tomography or MRI; (2) unfeasible, difficult or refusal to undergo liver resection; (3) tumor number is 3 or less; (4) maximum tumor diameter is 3cm or less; (5) no extrahepatic metastasis; (6) curative intent. HCC which is located within 5mm from hepatic artery, hepatic vein or portal vein is classified as high-risk lesion. PSM was performed to reduce selection bias between RFA and SBRT group. Result(s): 231 patients, 474 tumors for RFA, and 143 patients, 220 tumors for SBRT were eligible for this study. Four-year local recurrence rate for all tumors in RFA and SBRT group were 12.9% (95% CI, 9.9-16.2%) and 5.3% (95% CI, 2.7-9.2%), respectively (p=0.0009). In the high-risk lesion, local recurrence rate were 13.3% (95% CI, 5.8-24.0%) and 5.3% (95% CI, 1.7-9.6%), p=0.03. Four-year OS with PSM were 61.8% (95% CI, 50.0-71.5%) and 56.9% (95% CI, 44.8-67.3%), p=0.64. There is no difference between RFA and SBRT in liver related death rate (26.9% and 34.0%, p=0.43) or in Child-Pugh score change in 12 months (p=0.131). Conclusion(s): Four-year local recurrence rate after SBRT for HCC is superior to that of RFA. Especially, for the tumors adjacent to large vessels, SBRT is superior to RFA in local control rate. SBRT may be another curative treatment option for early-stage HCC though more evidence is needed to validate the efficacy.",exclusion,Wrong comparator,,http://dx.doi.org/10.1002/hep.30257 
random-journal.pdf,LivM47,"Mesko, Shane",2017,eng,LIV.M:#1;LIV.P:#1,Clinical Outcomes for Stereotactic Ablative Radiotherapy in Oligometastatic and Oligoprogressive Gynecological Malignancies.,"OBJECTIVES: We report single-institution clinical outcomes of women treated with stereotactic ablative radiotherapy (SABR) for oligometastatic or progressive gynecological malignancies. MATERIALS AND METHODS: From 2009 to 2015, 47 lesions from 28 patients were treated with SABR and retrospectively analyzed. All patients had oligometastatic (93%) or oligoprogressive (7%) disease. Primary cancer diagnoses were 15 ovarian, 8 endometrial, 2 cervical, 2 vaginal, and 1 uterine carcinosarcoma. Treatment was delivered using a median of 5 fractions to a median total dose of 40 Gy. Targets were grouped by treatment site and assessed for response using Response Evaluation Criteria in Solid Tumors v1.1. Mean biologically effective dose and pre-SABR tumor size were compared with response. Progression-free survival (PFS) was determined using Kaplan-Meier analysis, and toxicity outcomes were graded using Common Terminology Criteria for Adverse Events version 4.03. RESULTS: Median follow-up was 12.8 months. Target locations were 17% liver, 21% lung, 17% paraaortic node, 26% other node, and 19% pelvic soft tissue. After treatment, 34% of targets were stable (SD), 32% had a partial response (PR), 17% had a complete response (CR), and 17% had progressive disease (PD). No failures occurred in lung or nodal targets. Mean ± standard deviation pre-SABR tumor diameter was 24 ± 22 mm. There was a significant difference in mean size between lesions that had a favorable (SD, PR, and CR) versus unfavorable response (PD) (17.2 vs 57.6 mm, P = 0.0044). Lesions that responded favorably were also more likely to have received a higher biologically effective dose (79.0 vs 59.6 Gy, P = 0.027). Median PFS was 10.8 months, and 1 patient experienced grade 3 toxicity. CONCLUSIONS: The SABR is a safe and effective local treatment modality in patients with oligometastatic gynecological disease. Distant progression remains the primary mode of failure in this patient population. In carefully selected patients, a combination of systemic treatment and SABR may offer long-term PFS.",exclusion,"No comparator, wrong patients",,10.1097/IGC.0000000000000869
random-journal.pdf,LivM48,"Okuda, Takeshi",2018,eng,LIV.M:#1;LIV.P:#1,Clinical outcomes of brain metastases from hepatocellular carcinoma: a multicenter retrospective study and a literature review.,"INTRODUCTION: The introduction of systemic chemotherapy for advanced hepatocellular carcinoma in recent years has led to the prediction that cases of brain metastases from hepatocellular carcinoma will increase. However, because brain metastases from hepatocellular carcinoma are relatively rare, the characteristics of this pathology are poorly understood. METHODS: We carried out a multicenter retrospective study to verify the characteristics of brain metastases from hepatocellular carcinoma in Japan. RESULTS: A total of 38 patients were enrolled and patient characteristics were poor general condition in many patients due to the progression of primary cancers. Stereotactic radiosurgery/stereotactic radiotherapy alone was the most common treatment (39.5%), with best supportive care provided for 10.5%. Median survival was 6 months, the neurological death rate was 28%, and the rate of brain hemorrhage was high (39.5%). Overall survival was analyzed for correlations with age, etiology of chronic liver disease, albumin-bilirubin (ALBI) grade, RPA classification, control of the primary tumor, number of brain metastases, brain hemorrhage, surgical resection, and radiotherapy. In multivariate analysis, ALBI grade, number of brain metastases and brain hemorrhage showed statistically significant correlation. CONCLUSIONS: A multivariate analysis extracted three items-ALBI grade, number of brain metastases, and brain hemorrhage-as prognostic factors for survival of brain metastases from hepatocellular carcinoma.",exclusion,Wrong patients ,Metastasis is from liver to brain (not the other way round),10.1007/s10147-018-1312-5
random-journal.pdf,LivM49,"Laliscia, Concetta",2017,eng,1 population;LIV.M:#5,Clinical Outcomes of Stereotactic Body Radiotherapy in Oligometastatic Gynecological Cancer.,"OBJECTIVE: The objective of this study was to assess the role of stereotactic body radiotherapy (SBRT) in the treatment of distantly recurrent, oligometastatic gynecological cancer. METHODS: The hospital records of 45 patients with F-fluorodeoxyglucose (F-FDG) positron emission tomography positive, distantly recurrent, oligometastatic gynecological cancer were reviewed. All these patients had a number of target lesions less than 5, with largest diameter less than 6 cm. The treatment was delivered with a TrueBeam LINAC and RapidArc technique, using 10 or 6 MV FFF beams. A total of 70 lesions were treated, and lymph nodes represented the most common site of metastases, followed by lung, liver, and soft tissues. Twenty lesions were treated with one single fraction of 24 Gy and 5 lesions received 27 Gy delivered in 3 fractions, depending on the ability to fulfill adequate target coverage and safe dose/volume constraints for the organ at risk with either regimen. RESULTS: Positron emission tomography scan 3 months after SBRT showed a complete response (CR) in 45 lesions (64.3%), a partial response in 14 (20.0%), a stable disease in 5 (7.1%), and a progressive disease in 6 (8.6%). No lesions in CR after SBRT subsequently progressed. Overall acute toxicity occurred in 13 (28.9%) patients. The most common grade 1 to 2 adverse event was pain (n = 9, 20.0%), followed by nausea and vomiting (n = 5, 11.1%). No grade 3 to 4 acute toxicities occurred, and no late toxicities were observed. Patients who failed to achieve a CR had a 2.37-fold higher risk of progression and a 3.60-fold higher risk of death compared with complete responders (P = 0.04 and P = 0.03, respectively). CONCLUSIONS: Stereotactic body radiotherapy offers an effective and safe approach for selected cases of oligometastatic gynecological cancer.",exclusion,Wrong patients,,10.1097/IGC.0000000000000885
